"","GEOID","NAME","variable","estimate","moe"
"1","17001000100","Census Tract 1, Adams County, Illinois","B08014_003",517,155
"2","17001000201","Census Tract 2.01, Adams County, Illinois","B08014_003",231,66
"3","17001000202","Census Tract 2.02, Adams County, Illinois","B08014_003",359,101
"4","17001000400","Census Tract 4, Adams County, Illinois","B08014_003",314,138
"5","17001000500","Census Tract 5, Adams County, Illinois","B08014_003",274,94
"6","17001000600","Census Tract 6, Adams County, Illinois","B08014_003",679,177
"7","17001000700","Census Tract 7, Adams County, Illinois","B08014_003",248,73
"8","17001000800","Census Tract 8, Adams County, Illinois","B08014_003",507,180
"9","17001000900","Census Tract 9, Adams County, Illinois","B08014_003",408,94
"10","17001001001","Census Tract 10.01, Adams County, Illinois","B08014_003",492,129
"11","17001001002","Census Tract 10.02, Adams County, Illinois","B08014_003",312,129
"12","17001001100","Census Tract 11, Adams County, Illinois","B08014_003",681,197
"13","17001010100","Census Tract 101, Adams County, Illinois","B08014_003",216,59
"14","17001010200","Census Tract 102, Adams County, Illinois","B08014_003",203,54
"15","17001010300","Census Tract 103, Adams County, Illinois","B08014_003",416,146
"16","17001010400","Census Tract 104, Adams County, Illinois","B08014_003",119,68
"17","17001010500","Census Tract 105, Adams County, Illinois","B08014_003",137,63
"18","17001010600","Census Tract 106, Adams County, Illinois","B08014_003",523,208
"19","17003957600","Census Tract 9576, Alexander County, Illinois","B08014_003",102,47
"20","17003957700","Census Tract 9577, Alexander County, Illinois","B08014_003",114,76
"21","17003957800","Census Tract 9578, Alexander County, Illinois","B08014_003",119,56
"22","17003957900","Census Tract 9579, Alexander County, Illinois","B08014_003",193,99
"23","17005951200","Census Tract 9512, Bond County, Illinois","B08014_003",106,52
"24","17005951300","Census Tract 9513, Bond County, Illinois","B08014_003",254,112
"25","17005951400","Census Tract 9514, Bond County, Illinois","B08014_003",174,79
"26","17005951500","Census Tract 9515, Bond County, Illinois","B08014_003",264,86
"27","17007010100","Census Tract 101, Boone County, Illinois","B08014_003",652,225
"28","17007010200","Census Tract 102, Boone County, Illinois","B08014_003",379,168
"29","17007010300","Census Tract 103, Boone County, Illinois","B08014_003",417,178
"30","17007010400","Census Tract 104, Boone County, Illinois","B08014_003",220,101
"31","17007010500","Census Tract 105, Boone County, Illinois","B08014_003",298,136
"32","17007010601","Census Tract 106.01, Boone County, Illinois","B08014_003",200,88
"33","17007010602","Census Tract 106.02, Boone County, Illinois","B08014_003",608,261
"34","17009970400","Census Tract 9704, Brown County, Illinois","B08014_003",163,57
"35","17009970500","Census Tract 9705, Brown County, Illinois","B08014_003",261,114
"36","17011964700","Census Tract 9647, Bureau County, Illinois","B08014_003",175,49
"37","17011964800","Census Tract 9648, Bureau County, Illinois","B08014_003",155,42
"38","17011964900","Census Tract 9649, Bureau County, Illinois","B08014_003",215,77
"39","17011965000","Census Tract 9650, Bureau County, Illinois","B08014_003",263,70
"40","17011965100","Census Tract 9651, Bureau County, Illinois","B08014_003",449,99
"41","17011965200","Census Tract 9652, Bureau County, Illinois","B08014_003",482,157
"42","17011965300","Census Tract 9653, Bureau County, Illinois","B08014_003",265,76
"43","17011965400","Census Tract 9654, Bureau County, Illinois","B08014_003",365,116
"44","17011965500","Census Tract 9655, Bureau County, Illinois","B08014_003",152,49
"45","17011965600","Census Tract 9656, Bureau County, Illinois","B08014_003",158,35
"46","17013951200","Census Tract 9512, Calhoun County, Illinois","B08014_003",168,60
"47","17013951300","Census Tract 9513, Calhoun County, Illinois","B08014_003",127,48
"48","17015960100","Census Tract 9601, Carroll County, Illinois","B08014_003",225,66
"49","17015960200","Census Tract 9602, Carroll County, Illinois","B08014_003",78,32
"50","17015960300","Census Tract 9603, Carroll County, Illinois","B08014_003",326,122
"51","17015960400","Census Tract 9604, Carroll County, Illinois","B08014_003",183,50
"52","17015960500","Census Tract 9605, Carroll County, Illinois","B08014_003",217,60
"53","17015960600","Census Tract 9606, Carroll County, Illinois","B08014_003",124,47
"54","17017960100","Census Tract 9601, Cass County, Illinois","B08014_003",153,42
"55","17017960200","Census Tract 9602, Cass County, Illinois","B08014_003",201,50
"56","17017960300","Census Tract 9603, Cass County, Illinois","B08014_003",139,70
"57","17017960400","Census Tract 9604, Cass County, Illinois","B08014_003",422,98
"58","17017960500","Census Tract 9605, Cass County, Illinois","B08014_003",314,102
"59","17019000200","Census Tract 2, Champaign County, Illinois","B08014_003",411,95
"60","17019000301","Census Tract 3.01, Champaign County, Illinois","B08014_003",793,322
"61","17019000302","Census Tract 3.02, Champaign County, Illinois","B08014_003",468,244
"62","17019000401","Census Tract 4.01, Champaign County, Illinois","B08014_003",255,97
"63","17019000402","Census Tract 4.02, Champaign County, Illinois","B08014_003",284,115
"64","17019000500","Census Tract 5, Champaign County, Illinois","B08014_003",1096,312
"65","17019000700","Census Tract 7, Champaign County, Illinois","B08014_003",761,194
"66","17019000800","Census Tract 8, Champaign County, Illinois","B08014_003",1409,298
"67","17019000901","Census Tract 9.01, Champaign County, Illinois","B08014_003",809,211
"68","17019000902","Census Tract 9.02, Champaign County, Illinois","B08014_003",998,242
"69","17019001000","Census Tract 10, Champaign County, Illinois","B08014_003",820,213
"70","17019001100","Census Tract 11, Champaign County, Illinois","B08014_003",595,120
