"","GEOID","NAME","variable","estimate","moe"
"1","17001000100","Census Tract 1, Adams County, Illinois","B08014_002",0,11
"2","17001000201","Census Tract 2.01, Adams County, Illinois","B08014_002",13,13
"3","17001000202","Census Tract 2.02, Adams County, Illinois","B08014_002",18,28
"4","17001000400","Census Tract 4, Adams County, Illinois","B08014_002",100,81
"5","17001000500","Census Tract 5, Adams County, Illinois","B08014_002",36,31
"6","17001000600","Census Tract 6, Adams County, Illinois","B08014_002",46,49
"7","17001000700","Census Tract 7, Adams County, Illinois","B08014_002",81,49
"8","17001000800","Census Tract 8, Adams County, Illinois","B08014_002",134,79
"9","17001000900","Census Tract 9, Adams County, Illinois","B08014_002",36,52
"10","17001001001","Census Tract 10.01, Adams County, Illinois","B08014_002",0,11
"11","17001001002","Census Tract 10.02, Adams County, Illinois","B08014_002",67,70
"12","17001001100","Census Tract 11, Adams County, Illinois","B08014_002",49,57
"13","17001010100","Census Tract 101, Adams County, Illinois","B08014_002",9,7
"14","17001010200","Census Tract 102, Adams County, Illinois","B08014_002",30,25
"15","17001010300","Census Tract 103, Adams County, Illinois","B08014_002",130,103
"16","17001010400","Census Tract 104, Adams County, Illinois","B08014_002",16,25
"17","17001010500","Census Tract 105, Adams County, Illinois","B08014_002",11,18
"18","17001010600","Census Tract 106, Adams County, Illinois","B08014_002",0,15
"19","17003957600","Census Tract 9576, Alexander County, Illinois","B08014_002",13,16
"20","17003957700","Census Tract 9577, Alexander County, Illinois","B08014_002",6,10
"21","17003957800","Census Tract 9578, Alexander County, Illinois","B08014_002",65,69
"22","17003957900","Census Tract 9579, Alexander County, Illinois","B08014_002",47,41
"23","17005951200","Census Tract 9512, Bond County, Illinois","B08014_002",20,19
"24","17005951300","Census Tract 9513, Bond County, Illinois","B08014_002",396,362
"25","17005951400","Census Tract 9514, Bond County, Illinois","B08014_002",3,4
"26","17005951500","Census Tract 9515, Bond County, Illinois","B08014_002",40,29
"27","17007010100","Census Tract 101, Boone County, Illinois","B08014_002",70,76
"28","17007010200","Census Tract 102, Boone County, Illinois","B08014_002",34,48
"29","17007010300","Census Tract 103, Boone County, Illinois","B08014_002",98,93
"30","17007010400","Census Tract 104, Boone County, Illinois","B08014_002",0,15
"31","17007010500","Census Tract 105, Boone County, Illinois","B08014_002",14,23
"32","17007010601","Census Tract 106.01, Boone County, Illinois","B08014_002",0,11
"33","17007010602","Census Tract 106.02, Boone County, Illinois","B08014_002",196,177
"34","17009970400","Census Tract 9704, Brown County, Illinois","B08014_002",1,2
"35","17009970500","Census Tract 9705, Brown County, Illinois","B08014_002",0,11
"36","17011964700","Census Tract 9647, Bureau County, Illinois","B08014_002",12,13
"37","17011964800","Census Tract 9648, Bureau County, Illinois","B08014_002",5,7
"38","17011964900","Census Tract 9649, Bureau County, Illinois","B08014_002",122,100
"39","17011965000","Census Tract 9650, Bureau County, Illinois","B08014_002",28,19
"40","17011965100","Census Tract 9651, Bureau County, Illinois","B08014_002",23,19
"41","17011965200","Census Tract 9652, Bureau County, Illinois","B08014_002",24,33
"42","17011965300","Census Tract 9653, Bureau County, Illinois","B08014_002",53,52
"43","17011965400","Census Tract 9654, Bureau County, Illinois","B08014_002",109,65
"44","17011965500","Census Tract 9655, Bureau County, Illinois","B08014_002",27,28
