"","GEOID","NAME","variable","estimate","moe"
"1","17001000100","Census Tract 1, Adams County, Illinois","B08006_008",0,11
"2","17001000201","Census Tract 2.01, Adams County, Illinois","B08006_008",32,35
"3","17001000202","Census Tract 2.02, Adams County, Illinois","B08006_008",0,11
"4","17001000400","Census Tract 4, Adams County, Illinois","B08006_008",0,11
"5","17001000500","Census Tract 5, Adams County, Illinois","B08006_008",10,11
"6","17001000600","Census Tract 6, Adams County, Illinois","B08006_008",17,26
"7","17001000700","Census Tract 7, Adams County, Illinois","B08006_008",12,12
"8","17001000800","Census Tract 8, Adams County, Illinois","B08006_008",62,55
"9","17001000900","Census Tract 9, Adams County, Illinois","B08006_008",0,11
"10","17001001001","Census Tract 10.01, Adams County, Illinois","B08006_008",0,11
"11","17001001002","Census Tract 10.02, Adams County, Illinois","B08006_008",0,11
"12","17001001100","Census Tract 11, Adams County, Illinois","B08006_008",0,15
"13","17001010100","Census Tract 101, Adams County, Illinois","B08006_008",0,11
"14","17001010200","Census Tract 102, Adams County, Illinois","B08006_008",2,5
"15","17001010300","Census Tract 103, Adams County, Illinois","B08006_008",0,15
"16","17001010400","Census Tract 104, Adams County, Illinois","B08006_008",0,11
"17","17001010500","Census Tract 105, Adams County, Illinois","B08006_008",0,11
"18","17001010600","Census Tract 106, Adams County, Illinois","B08006_008",0,15
"19","17003957600","Census Tract 9576, Alexander County, Illinois","B08006_008",0,11
"20","17003957700","Census Tract 9577, Alexander County, Illinois","B08006_008",0,11
"21","17003957800","Census Tract 9578, Alexander County, Illinois","B08006_008",17,21
"22","17003957900","Census Tract 9579, Alexander County, Illinois","B08006_008",0,11
"23","17005951200","Census Tract 9512, Bond County, Illinois","B08006_008",0,11
"24","17005951300","Census Tract 9513, Bond County, Illinois","B08006_008",2,6
"25","17005951400","Census Tract 9514, Bond County, Illinois","B08006_008",5,11
"26","17005951500","Census Tract 9515, Bond County, Illinois","B08006_008",20,20
"27","17007010100","Census Tract 101, Boone County, Illinois","B08006_008",0,15
"28","17007010200","Census Tract 102, Boone County, Illinois","B08006_008",0,15
"29","17007010300","Census Tract 103, Boone County, Illinois","B08006_008",0,15
"30","17007010400","Census Tract 104, Boone County, Illinois","B08006_008",15,22
"31","17007010500","Census Tract 105, Boone County, Illinois","B08006_008",10,18
"32","17007010601","Census Tract 106.01, Boone County, Illinois","B08006_008",22,21
"33","17007010602","Census Tract 106.02, Boone County, Illinois","B08006_008",20,33
"34","17009970400","Census Tract 9704, Brown County, Illinois","B08006_008",7,12
"35","17009970500","Census Tract 9705, Brown County, Illinois","B08006_008",0,11
"36","17011964700","Census Tract 9647, Bureau County, Illinois","B08006_008",9,10
"37","17011964800","Census Tract 9648, Bureau County, Illinois","B08006_008",0,11
"38","17011964900","Census Tract 9649, Bureau County, Illinois","B08006_008",4,4
"39","17011965000","Census Tract 9650, Bureau County, Illinois","B08006_008",0,11
"40","17011965100","Census Tract 9651, Bureau County, Illinois","B08006_008",10,15
"41","17011965200","Census Tract 9652, Bureau County, Illinois","B08006_008",0,11
"42","17011965300","Census Tract 9653, Bureau County, Illinois","B08006_008",22,32
"43","17011965400","Census Tract 9654, Bureau County, Illinois","B08006_008",73,66
"44","17011965500","Census Tract 9655, Bureau County, Illinois","B08006_008",3,5
"45","17011965600","Census Tract 9656, Bureau County, Illinois","B08006_008",0,11
"46","17013951200","Census Tract 9512, Calhoun County, Illinois","B08006_008",5,9
"47","17013951300","Census Tract 9513, Calhoun County, Illinois","B08006_008",21,29
"48","17015960100","Census Tract 9601, Carroll County, Illinois","B08006_008",43,41
"49","17015960200","Census Tract 9602, Carroll County, Illinois","B08006_008",0,11
"50","17015960300","Census Tract 9603, Carroll County, Illinois","B08006_008",17,26
"51","17015960400","Census Tract 9604, Carroll County, Illinois","B08006_008",0,11
"52","17015960500","Census Tract 9605, Carroll County, Illinois","B08006_008",1,2
"53","17015960600","Census Tract 9606, Carroll County, Illinois","B08006_008",0,11
"54","17017960100","Census Tract 9601, Cass County, Illinois","B08006_008",0,11
"55","17017960200","Census Tract 9602, Cass County, Illinois","B08006_008",1,2
"56","17017960300","Census Tract 9603, Cass County, Illinois","B08006_008",0,11
"57","17017960400","Census Tract 9604, Cass County, Illinois","B08006_008",14,17
"58","17017960500","Census Tract 9605, Cass County, Illinois","B08006_008",8,18
"59","17019000200","Census Tract 2, Champaign County, Illinois","B08006_008",66,48
"60","17019000301","Census Tract 3.01, Champaign County, Illinois","B08006_008",253,100
"61","17019000302","Census Tract 3.02, Champaign County, Illinois","B08006_008",389,136
"62","17019000401","Census Tract 4.01, Champaign County, Illinois","B08006_008",157,83
"63","17019000402","Census Tract 4.02, Champaign County, Illinois","B08006_008",150,69
"64","17019000500","Census Tract 5, Champaign County, Illinois","B08006_008",334,163
"65","17019000700","Census Tract 7, Champaign County, Illinois","B08006_008",198,106
"66","17019000800","Census Tract 8, Champaign County, Illinois","B08006_008",394,279
